,height,lean angle,width,material,n_struts,E1,E2,E3,weight,cost,reliability,IoP E1,IoP E2,IoP E3,CAC E1,CAC E2,CAC E3,IoP,CAC,value
137,14.0,0.0,90,Inconel,20,0.18944598469734905,0.17589208875187112,1.6066234964964508,39.21372000000001,23.528232000000013,0.9,0.18944598469734897,0.011584668244183532,1.606623496496451,1.458775760511895,1.4587757605118943,2.8898854526542155,0.6025513831459944,1.935812324559335,-0.6089369379865284
138,14.0,0.0,90,Inconel,22,0.19281190885437066,0.17921965775332319,1.8647142448101994,43.135092000000014,25.88105520000001,0.92,0.19281190885437066,0.011489039970909101,1.8647142448101997,1.456014760622988,1.4560147606229878,2.890207259119346,0.6896717312118265,1.9340789267884404,-0.8459119941078709
139,14.0,0.0,90,Inconel,24,0.19922970082667513,0.18556431812847113,2.134580050621049,47.05646400000003,28.23387840000001,0.98,0.19922970082667496,0.011888118479217122,2.1345800506210484,1.4226569034346623,1.4226569034346623,2.8372681297606754,0.7818992899756468,1.8941939788766666,-1.0861281441180015
140,14.0,0.0,90,Inconel,26,0.16820974228401067,0.1548978361587065,2.386170178761207,50.97783600000002,30.586701600000005,0.96,0.16820974228401067,0.007960450165923607,2.386170178761207,1.4147645041985493,1.4147645041985488,3.0309022805969827,0.8541134570703804,1.9534770963313601,-1.2439559185178575
141,14.0,0.0,90,Inconel,28,0.1456516528083727,0.1325967991271603,2.6473042049050917,54.899208000000016,32.939524800000015,0.86,0.14565165280837258,0.008571075938704096,2.647304204905092,1.3949096726012664,1.3949096726012666,3.0225796773629834,0.9338423112173896,1.9374663408551722,-1.4431299340348624
142,14.0,0.0,90,Inconel,30,0.1686292488488274,0.15531256239015703,2.885058096963674,58.82058000000002,35.292348000000004,0.9,0.1686292488488274,0.009594037179707294,2.885058096963674,1.4098889820513074,1.4098889820513079,2.737803221610193,1.021093794330736,1.8525270619042693,-1.8038553686756336
145,14.0,0.0,90,Titanium,10,0.19185999018684538,1.120901455387201,0.6666666666666665,10.605420000000002,11.665962000000004,0.98,0.1918599901868452,-0.20636629914408405,0.6666666666666665,1.3781781524951868,1.3781781524951895,4.1096056206328155,0.21738678590314256,2.2886539752077306,0.6900978758316728
146,14.0,0.0,90,Titanium,12,0.2108198672868063,1.154640343567318,1.0,12.726504000000002,13.999154400000002,0.92,0.21081986728680627,-0.20183618822314467,1.0,1.6126489931194739,1.6126489931194736,3.9220294250263725,0.3363278930212205,2.3824424704217733,0.2160464065296886
147,14.0,0.0,90,Titanium,14,0.1889557177461793,1.115733335224627,1.333333333333333,14.847588,16.332346800000003,0.98,0.1889557177461792,-0.20653790492978286,1.3333333333333337,1.4201133075185135,1.4201133075185135,3.2260636515664936,0.4385837153832433,2.022096755534507,-0.11371110668625056
148,14.0,0.0,90,Titanium,16,0.2108157814868153,1.1546330729321606,1.666666666666667,16.968671999999998,18.66553920000001,0.96,0.21081578148681518,-0.2033924539816456,1.6666666666666663,1.4835557936350412,1.483555793635041,2.91565434466856,0.5580299980572786,1.960921977312881,-0.5100404014443274
149,14.0,0.0,90,Titanium,18,0.18814662724195114,1.114293567766967,2.0,19.089755999999998,20.9987316,0.92,0.1881466272419509,-0.2060945133316862,1.9999999999999998,1.4647404155195674,1.464740415519566,3.0164847492952775,0.6606840379700881,1.981988526778137,-0.7312162010201321
150,14.0,0.0,90,Titanium,20,0.1744194622556331,1.089866231974566,2.3333333333333335,21.210840000000005,23.331924000000008,0.96,0.17441946225563296,-0.20915918912119713,2.333333333333333,1.427315842545185,1.4273158425451844,3.0767350128862745,0.7661978688225896,1.9771222326588813,-0.9945897734627382
